run_id,scope_level,agency_name,domain,archetype_primary,nexo_project_count,web_project_count,matched_project_count,coverage_critical_pct,requires_playwright,extraction_cost_level,viability_score,final_decision,included_in_mvp,condition_or_exclusion_reason,next_action
webs_propias_phase9_2026-06-14T20-43-58-350Z,MVP condicionado / enriquecimiento,ABRIL GRUPO INMOBILIARIO,abril.pe,wordpress_sitemap_rest_html,30,50,1,39,false,low_medium,72,Go condicionado,false,Inclusion condicionada: 2 campos requieren revision humana; 16 campos criticos no observados en muestra.,Completar revision de campos/matching y definir regla de inclusion.
webs_propias_phase9_2026-06-14T20-43-58-350Z,MVP condicionado / enriquecimiento,EE INMOBILIARIA,eeinmobiliaria.com,wordpress_sitemap_rest_html,28,30,2,41,false,low_medium,73,Go condicionado,false,Inclusion condicionada: 2 campos requieren revision humana; 16 campos criticos no observados en muestra.,Completar revision de campos/matching y definir regla de inclusion.
webs_propias_phase9_2026-06-14T20-43-58-350Z,Backlog posterior,TALE INMOBILIARIA,,discovery_pending,17,0,0,0,false,unknown,0,Discovery pendiente,false,Web oficial no confirmada.,Confirmar dominio oficial o mantener fuera del MVP inicial.
webs_propias_phase9_2026-06-14T20-43-58-350Z,MVP condicionado / enriquecimiento,ALBAMAR GRUPO INMOBILIARIO,albamar.com.pe,wordpress_sitemap_rest_html,16,29,0,50,false,low_medium,76,Go condicionado,false,Inclusion condicionada: 1 campos requieren revision humana; 7 campos criticos no observados en muestra.,Completar revision de campos/matching y definir regla de inclusion.
webs_propias_phase9_2026-06-14T20-43-58-350Z,Fuera de alcance,PAZ,paz.pe,embedded_json_html,15,0,0,0,false,medium,37,No-go técnico,false,No hay URLs candidatas de proyecto para extraer.,Excluir del MVP automatizado o reevaluar solo si cambia la evidencia.
webs_propias_phase9_2026-06-14T20-43-58-350Z,MVP condicionado / enriquecimiento,V&V GRUPO INMOBILIARIO,vyv.pe,wordpress_sitemap_rest_html,15,40,1,43,false,low_medium,77,Go condicionado,false,Inclusion condicionada: 2 campos requieren revision humana; 7 campos criticos no observados en muestra.,Completar revision de campos/matching y definir regla de inclusion.
webs_propias_phase9_2026-06-14T20-43-58-350Z,MVP condicionado / enriquecimiento,GRUPO MG,grupomg.pe,wordpress_sitemap_rest_html,14,40,2,43,false,low_medium,76,Go condicionado,false,Inclusion condicionada: 1 campos requieren revision humana; 16 campos criticos no observados en muestra.,Completar revision de campos/matching y definir regla de inclusion.
webs_propias_phase9_2026-06-14T20-43-58-350Z,MVP condicionado / enriquecimiento,GRUPO T&C,grupotyc.com,wordpress_sitemap_rest_html,14,30,0,45,false,low_medium,71,Go condicionado,false,Inclusion condicionada: 1 campos requieren revision humana; 14 campos criticos no observados en muestra.,Completar revision de campos/matching y definir regla de inclusion.
webs_propias_phase9_2026-06-14T20-43-58-350Z,MVP condicionado / enriquecimiento,EDIFICA,edifica.com.pe,embedded_json_html,13,29,0,57,false,medium,71,Go condicionado,false,Inclusion condicionada: 6 campos criticos no observados en muestra.,Completar revision de campos/matching y definir regla de inclusion.
webs_propias_phase9_2026-06-14T20-43-58-350Z,Fuera de alcance,URBANA PERÚ,mailparser.io,wordpress_sitemap_rest_html,11,0,0,0,false,low_medium,40,No-go técnico,false,No hay URLs candidatas de proyecto para extraer.,Excluir del MVP automatizado o reevaluar solo si cambia la evidencia.
